"state","county","total_population_20","incarcerated_20","total_population_10","incarcerated_10","total_population_00","incarcerated_00","FIPS"
"MA","Barnstable County","228996","213","215888","438","222230","266","25001"
"MA","Berkshire County","129026","188","131219","352","134953","279","25003"
"MA","Bristol County","579200","885","548285","1318","534678","1058","25005"
"MA","Dukes County","20600","15","16535","30","14987","34","25007"
"MA","Essex County","809829","2118","743159","1431","723419","1574","25009"
"MA","Franklin County","71029","318","71372","176","71535","180","25011"
"MA","Hampden County","465825","1031","463490","1544","456228","1888","25013"
"MA","Hampshire County","162308","143","158080","250","152251","245","25015"
"MA","Middlesex County","1632002","3109","1503085","4429","1465396","4410","25017"
"MA","Nantucket County","14255","0","10172","0","9520","0","25019"
"MA","Norfolk County","725981","2381","670850","3612","650308","3213","25021"
"MA","Plymouth County","530819","2667","494919","3576","472822","3765","25023"
"MA","Suffolk County","797936","915","722023","2622","689807","2483","25025"
"MA","Worcester County","862111","3986","798552","4905","750963","4118","25027"
"CT","Fairfield County","957419","2492","916829","3108","882567","2900","9001"
"CT","Hartford County","899498","5040","894014","6842","857183","5937","9003"
"CT","Litchfield County","185186","21","189927","28","182193","0","9005"
"CT","Middlesex County","164245","28","165676","14","155071","0","9007"
"CT","New Haven County","864835","2239","862477","2603","824008","4172","9009"
"CT","New London County","268555","2023","274055","3625","259088","3710","9011"
"CT","Tolland County","149788","1300","152691","3356","136364","2762","9013"
"CT","Windham County","116418","438","118428","483","109091","542","9015"
"WV","Barbour County","15465","0","16589","0","15557","6","54001"
"WV","Berkeley County","122076","515","104169","122","75905","261","54003"
"WV","Boone County","21809","0","24629","0","25535","0","54005"
"WV","Braxton County","12447","370","14523","267","14702","468","54007"
"WV","Brooke County","22559","0","24069","0","25447","0","54009"
"WV","Cabell County","94350","621","96319","607","96784","246","54011"
"WV","Calhoun County","6229","0","7627","0","7582","0","54013"
"WV","Clay County","8051","0","9386","0","10330","0","54015"
"WV","Doddridge County","7808","1127","8202","567","7403","0","54017"
"WV","Fayette County","40488","1058","46039","1042","47579","997","54019"
"WV","Gilmer County","7408","1440","8693","1773","7160","0","54021"
"WV","Grant County","10976","0","11937","0","11299","0","54023"
"WV","Greenbrier County","32977","0","35480","213","34453","116","54025"
"WV","Hampshire County","23093","251","23964","263","20203","109","54027"
"WV","Hancock County","29095","0","30676","0","32667","12","54029"
"WV","Hardy County","14299","0","14025","0","12669","0","54031"
"WV","Harrison County","65921","0","69099","23","68652","95","54033"
"WV","Jackson County","27791","0","29211","0","28000","8","54035"
"WV","Jefferson County","57701","0","53498","0","42190","0","54037"
"WV","Kanawha County","180745","547","193063","452","200073","434","54039"
"WV","Lewis County","17033","0","16372","0","16919","0","54041"
"WV","Lincoln County","20463","0","21720","0","22108","0","54043"
"WV","Logan County","32567","449","36743","258","37710","248","54045"
"WV","McDowell County","19111","1881","22113","332","27329","95","54047"
"WV","Marion County","56205","0","56418","0","56598","112","54049"
"WV","Marshall County","30591","582","33107","252","35519","355","54051"
"WV","Mason County","25453","562","27324","446","25957","18","54053"
"WV","Mercer County","59664","0","62264","0","62980","5","54055"
"WV","Mineral County","26938","0","28212","0","27078","9","54057"
"WV","Mingo County","23568","0","26839","0","28253","0","54059"
"WV","Monongalia County","105822","682","96189","1271","81866","1126","54061"
"WV","Monroe County","12376","0","13502","0","14583","1389","54063"
"WV","Morgan County","17063","0","17541","0","14943","0","54065"
"WV","Nicholas County","24604","0","26233","0","26562","0","54067"
"WV","Ohio County","42425","71","44443","66","47427","73","54069"
"WV","Pendleton County","6143","0","7695","0","8196","2","54071"
"WV","Pleasants County","7653","678","7605","558","7514","194","54073"
"WV","Pocahontas County","7869","220","8719","246","9131","220","54075"
"WV","Preston County","34216","3158","33520","2086","29334","19","54077"
"WV","Putnam County","57440","0","55486","0","51589","0","54079"
"WV","Raleigh County","74591","2298","78859","2775","79220","2541","54081"
"WV","Randolph County","27932","1636","29405","1479","28262","888","54083"
"WV","Ritchie County","8444","0","10449","0","10343","22","54085"
"WV","Roane County","14028","0","14926","0","15446","0","54087"
"WV","Summers County","11959","838","13927","1124","12999","0","54089"
"WV","Taylor County","16705","352","16895","369","16089","275","54091"
"WV","Tucker County","6762","0","7141","0","7321","0","54093"
"WV","Tyler County","8313","0","9208","0","9592","9","54095"
"WV","Upshur County","23816","0","24254","0","23404","0","54097"
"WV","Wayne County","38982","0","42481","0","42903","20","54099"
"WV","Webster County","8378","0","9154","0","9719","0","54101"
"WV","Wetzel County","14442","0","16583","0","17693","0","54103"
"WV","Wirt County","5194","0","5717","0","5873","24","54105"
"WV","Wood County","84296","333","86956","0","87986","109","54107"
"WV","Wyoming County","21382","0","23796","0","25708","0","54109"
"VT","Addison County","37363","0","36821","19","35974","6","50001"
"VT","Bennington County","37347","0","37125","0","36994","0","50003"
"VT","Caledonia County","30233","122","31227","222","29702","235","50005"
"VT","Chittenden County","168323","94","156545","166","146571","177","50007"
"VT","Essex County","5920","0","6306","0","6459","0","50009"
"VT","Franklin County","49946","198","47746","153","45417","238","50011"
"VT","Grand Isle County","7293","0","6970","0","6901","0","50013"
"VT","Lamoille County","25945","0","24475","0","23233","0","50015"
"VT","Orange County","29277","0","28936","0","28226","0","50017"
"VT","Orleans County","27393","360","27231","413","26277","286","50019"
"VT","Rutland County","60572","124","61642","145","63400","117","50021"
"VT","Washington County","59807","9","59534","7","58039","0","50023"
"VT","Windham County","45905","0","44513","0","44216","0","50025"
"VT","Windsor County","57753","312","56670","467","57418","160","50027"
"RI","Bristol County","50793","0","49875","0","50648","0","44001"
